parcel_id,source_identifier,situs_address,method,url,multiValueQueryString,address,city,state,zip,county,county_fips,use_code,use_group,parcelid,parcelid_display,geometry_type,ring_count,vertex_count,acres,latitude,longitude,parcel_polygon,source_url,source_snapshot_at
162833436500050030,162833436500050030,FL,GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""162833436500050030""]}",FL,,FL,,Pinellas,12003,0000,vacant-residential,332816436500050030,33-28-16-43650-005-0030,simple-polygon,1,5,0.14,27.99821009454774,-82.7021875707327,"{""type"":""Polygon"",""coordinates"":[[[-82.7021875707327,27.99821009454774],[-82.70261630918428,27.998212314319463],[-82.7026159313758,27.998088546194445],[-82.7021875298976,27.998086321987074],[-82.7021875707327,27.99821009454774]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
173020172260000200,173020172260000200,FL,GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""173020172260000200""]}",FL,,FL,,Pinellas,12003,0000,vacant-residential,203017172260000200,20-30-17-17226-000-0200,simple-polygon,1,11,0.41,27.864358144121525,-82.62245146801426,"{""type"":""Polygon"",""coordinates"":[[[-82.62245146801426,27.864358144121525],[-82.6223427076401,27.864458807726628],[-82.62223946098713,27.864563955713194],[-82.62214196025334,27.86467335151721],[-82.62205042741893,27.864786746889397],[-82.62196507019506,27.864903883718046],[-82.62209816254563,27.86490276282581],[-82.62247127331209,27.864899578829586],[-82.62247164188324,27.86489957445904],[-82.62247145191294,27.864340656390304],[-82.62245146801426,27.864358144121525]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
173130464040040220,173130464040040220,"635 PARIS AVE S, FL",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""173130464040040220""]}","635 PARIS AVE S, FL",,FL,,Pinellas,12003,0000,vacant-residential,303117464040040220,30-31-17-46404-004-0220,simple-polygon,1,5,0.11,27.754285322558403,-82.64109791892831,"{""type"":""Polygon"",""coordinates"":[[[-82.64109791892831,27.754285322558403],[-82.6410995282609,27.754559901259828],[-82.6412469679118,27.754559087741434],[-82.64124439176446,27.75428472740303],[-82.64109791892831,27.754285322558403]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
152703878580000500,152703878580000500,"1403 CIRCLE DR, TARPON SPRINGS FL 34689",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""152703878580000500""]}","1403 CIRCLE DR, TARPON SPRINGS FL 34689",TARPON SPRINGS,FL,34689,Pinellas,12003,0110,single-family,032715878580000500,03-27-15-87858-000-0500,complex-polygon,1,29,0.89,28.16450731211642,-82.78354141472315,"{""type"":""Polygon"",""coordinates"":[[[-82.78354141472315,28.16450731211642],[-82.78343739624415,28.164568261018633],[-82.78340146138072,28.164593549266716],[-82.78337101745846,28.164623974778113],[-82.7833469833187,28.164658615510593],[-82.78333008954296,28.164696424169055],[-82.78332084504981,28.16473625546651],[-82.78331953023611,28.164776903159527],[-82.78332618503364,28.164817138015074],[-82.78334060915746,28.16485574209852],[-82.78337080799771,28.164914131183018],[-82.78340447410861,28.16497101154551],[-82.78344151365735,28.16502622129666],[-82.78348182578839,28.16507961302473],[-82.78352529120644,28.16513102408343],[-82.78357178667422,28.165180309895973],[-82.78362852221072,28.16523390178483],[-82.78368883823248,28.165284330266765],[-82.7837525113827,28.16533140531645],[-82.78414155857928,28.165118250808586],[-82.78401179691696,28.16500745833337],[-82.78397840649856,28.16497895013087],[-82.78394675072185,28.164951921775803],[-82.78388203553489,28.164896667532677],[-82.78384375764118,28.164852913140592],[-82.7837684997314,28.164766881265717],[-82.78370874823644,28.16469858840725],[-82.78365495302336,28.164637097667722],[-82.78354141472315,28.16450731211642]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
163131676080040070,163131676080040070,"7125 S SHORE DR, SOUTH PASADENA FL 33707",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""163131676080040070""]}","7125 S SHORE DR, SOUTH PASADENA FL 33707",SOUTH PASADENA,FL,33707,Pinellas,12003,0110,single-family,313116676080040070,31-31-16-67608-004-0070,simple-polygon,1,13,0.18,27.746286548521745,-82.73914364146378,"{""type"":""Polygon"",""coordinates"":[[[-82.73914364146378,27.746286548521745],[-82.73940359305159,27.74633186260892],[-82.73939655985326,27.746284395428383],[-82.73938188021957,27.746238333567774],[-82.73935986398074,27.746194646363836],[-82.73933097378331,27.746154252702915],[-82.73929581787378,27.74611800391408],[-82.73925513677256,27.746086663085123],[-82.73920978592183,27.74606088891258],[-82.73916072039249,27.74604122405249],[-82.73910897350595,27.74602808350357],[-82.73905149825744,27.746268946611217],[-82.73914364146378,27.746286548521745]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
162731186200000380,162731186200000380,"3202 ORCHARD DR, PALM HARBOR FL 34684",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""162731186200000380""]}","3202 ORCHARD DR, PALM HARBOR FL 34684",PALM HARBOR,FL,34684,Pinellas,12003,0110,single-family,312716186200000380,31-27-16-18620-000-0380,simple-polygon,1,10,0.14,28.09802407321374,-82.73565199109802,"{""type"":""Polygon"",""coordinates"":[[[-82.73565199109802,28.09802407321374],[-82.73565612834174,28.098176377823748],[-82.73565700536211,28.098176356877822],[-82.73577740697992,28.09817341460871],[-82.73596722007211,28.098168771569124],[-82.73596250144413,28.09800380356582],[-82.73577313501471,28.098008843045594],[-82.73565253187292,28.098012050782867],[-82.73565165790653,28.098012071712333],[-82.73565199109802,28.09802407321374]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
162726149090000180,162726149090000180,"5512 GREYSTON ST, PALM HARBOR FL 34685",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""162726149090000180""]}","5512 GREYSTON ST, PALM HARBOR FL 34685",PALM HARBOR,FL,34685,Pinellas,12003,0110,single-family,262716149090000180,26-27-16-14909-000-0180,simple-polygon,1,6,0.15,28.104869666182026,-82.67981725356731,"{""type"":""Polygon"",""coordinates"":[[[-82.67981725356731,28.104869666182026],[-82.6799659454486,28.10522287563875],[-82.68004047092683,28.105197200923435],[-82.68011420796603,28.10516979662038],[-82.67995709409729,28.104849119898635],[-82.67981725356731,28.104869666182026]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
173130153540050210,173130153540050210,"636 10TH AVE S, ST PETERSBURG FL 33701",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""173130153540050210""]}","636 10TH AVE S, ST PETERSBURG FL 33701",ST PETERSBURG,FL,33701,Pinellas,12003,0110,single-family,303117153540050210,30-31-17-15354-005-0210,simple-polygon,1,5,0.14,27.76032559500003,-82.64276823283785,"{""type"":""Polygon"",""coordinates"":[[[-82.64276823283785,27.76032559500003],[-82.64277017119679,27.760655401815846],[-82.64292785854454,27.760654194946632],[-82.64292901291704,27.7603245903398],[-82.64276823283785,27.76032559500003]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
153024194040120150,153024194040120150,"8649 QUAIL RD, SEMINOLE FL 33777",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""153024194040120150""]}","8649 QUAIL RD, SEMINOLE FL 33777",SEMINOLE,FL,33777,Pinellas,12003,0110,single-family,243015194040120150,24-30-15-19404-012-0150,simple-polygon,1,5,0.2,27.850781499214985,-82.76039486636633,"{""type"":""Polygon"",""coordinates"":[[[-82.76039486636633,27.850781499214985],[-82.7607364448762,27.850780294938087],[-82.760737193278,27.850560505004037],[-82.76039561545691,27.850561709269172],[-82.76039486636633,27.850781499214985]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
152924000001100900,152924000001100900,"1282 S BELCHER RD, CLEARWATER FL 33764",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""152924000001100900""]}","1282 S BELCHER RD, CLEARWATER FL 33764",CLEARWATER,FL,33764,Pinellas,12003,0110,single-family,242915000001100900,24-29-15-00000-110-0900,simple-polygon,1,7,0.37,27.950410560708963,-82.74618440684644,"{""type"":""Polygon"",""coordinates"":[[[-82.74618440684644,27.950410560708963],[-82.74664278829444,27.950414825898573],[-82.74664193557811,27.950110477717818],[-82.74633343181539,27.95010761082046],[-82.7463021463003,27.950134829434084],[-82.74618234948913,27.950133603717312],[-82.74618440684644,27.950410560708963]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
