"county","address_full","source_apn","elephant_uuid","elephant_token","reason_category","mcp_finding","required_action"
"Clay","1504 North St, Green Cove Springs, FL, 32043","38-06-26-018409-003-00","8cc7c1b2-3aa3-5540-b44e-be8bda42a0b0","9d21fbb63c5ea67fba114f81ac3fda47ca8729d669c4787a867b7b339e117f3f","Occupied identity collision","Exact APN and address exist, but the target is occupied by UUID f00131a2-5aec-5e14-b1da-a59a6eab60ad.","Identity adjudication; never overwrite the occupied UUID automatically."
"Duval","210 White Marsh Dr, Jacksonville, FL, 32256","","49fa76ca-6edf-59dc-a21b-eacb910013ac","8fc49748175b412462fbe7219808a2e8492981420eb63e2d5576c01e055e1b41","No usable APN or insufficient address identity","One null-identity candidate exists: RE 1681480840 at the exact street and coordinates, but its MCP ZIP is 32081.","Confirm the authoritative RE and ZIP before assigning this address identity."
"Duval","5453 S South Bend Cir N, Jacksonville, FL, 32207","","7486263c-fa48-5033-80ac-b238cf165097","a3f06d901fe7145b8081622f09e5323c920ff464eed0e17fc6d629b3336fa43b","No usable APN or insufficient address identity","No exact address exists. The supplied coordinates land on 2881 Stonemont St, RE 1259750000.","Correct the source address or coordinates and obtain an APN."
"Hillsborough","9011 Spruce Creek Cir, Riverview, FL, 33578","0491050000","edc710e4-2651-576f-b1af-5faf3fcecceb","a3b0195b80e8ea30cdab84e35dde6ea9d33cbd5fb316e8635f3ecfef07040889","Historical or current-identifier proof required","Source folio is absent. The exact address is present under current folio 0491506782, with no identity.","Obtain an official old-to-current folio crosswalk before assignment."
"Miami-Dade","394 NE 36th Avenue Rd, Homestead, FL, 33033","10-7915-004-0180","a8fca7b3-14e5-554a-bb76-a38633b531dd","2635a2255729051b48fe535469aa8be60024c3502ef75dfabb5e278dbfb6111b","Historical or current-identifier proof required","Folio and address are absent. Current neighboring folios 1079150040170 and 1079150040190 bracket the missing 0180.","Resolve the inactive folio or current successor from parcel history."
"Miami-Dade","783 E 17th St, Hialeah, FL, 33010","04-3108-001-0100","87406ef9-5dc0-58b3-8dc0-7f630d502399","88d9593d9468ef42b078a990cc780a3e2edb81aeaf9eb997cee0307cdb1c7f4f","Historical or current-identifier proof required","Folio and address are absent. Current neighboring folios 0431080010090 and 0431080010110 bracket the missing 0100.","Resolve the inactive folio or current successor from parcel history."
"Orange","1603 Woodward St Unit 19, Orlando, FL, 32803","19-22-30-2679-00-190","5c6a9c7f-e7d0-50de-a066-7990f574de92","39567300575e72ef75809b024f67df3d0c4539ec0e43220093fe035b399bf371","Historical or current-identifier proof required","Source APN is absent. The MCP has units 16, 17, 18, and 20 at this address, but no unit 19.","Obtain the current or historical parcel for unit 19."
"Orange","20218 Macon Pkwy, Orlando, FL, 32833","01-23-32-7597-19-080","0fcb1bf1-35f3-5118-9655-196ff19d6d1b","69f52ed8aeacb80090a9cd9497eb6eb71c59cf16c2e91cd3fbdc85b815c9234f","Historical or current-identifier proof required","APN and exact address are absent; current parcels at 20214 and 20234 Macon Pkwy bracket the source location.","Obtain parcel-history or successor evidence."
"Orange","2124 Longfellow Ct, Orlando, FL, 32818","13-22-28-3528-11-120","d4b62c0b-9aa9-5b8f-bb5f-a27fe6821794","48c027cea11500fbea102c41017249dd3a4a6b6a11367c8e2ab306e50fcf8134","Historical or current-identifier proof required","APN and exact address are absent; the nearest current MCP parcel is 2120 Longfellow Ct.","Obtain parcel-history or successor evidence."
"Orange","2738 Balforn Tower Way, Winter Garden, FL, 34787","","5dc3ec1f-be65-57e1-a1f2-f34335dc776b","c83d1cb8ad8131872e056b0e9ac30e788a37afead9e5142a9fc6fe6cd0456b40","No usable APN or insufficient address identity","No exact address exists; current parcels at 2732 and 2744 Balforn Tower Way bracket it.","Obtain the authoritative current or historical parcel."
"Orange","3423 Seneca Club Loop Unit A, Orlando, FL, 32808","","c0fce5b9-3aa3-5ca5-a4ba-5f6d5245e461","9cc1d8402313005df0237793bc3430e036b6f11ce08d01f1d64ebdfa6c3ff76a","No usable APN or insufficient address identity","The MCP has three numbered condo units: 27-101, 27-102, and 27-103. Unit A is not a one-to-one match.","Supply a letter-to-number unit crosswalk or APN."
"Orange","3423 Seneca Club Loop Unit B, Orlando, FL, 32808","","53cfdbda-0c4b-5aad-bd2b-551b8293f421","f0ebfe783f5ff079a994815518464ae4f09930b2cead0243040d6049d2624995","No usable APN or insufficient address identity","The MCP has three numbered condo units: 27-101, 27-102, and 27-103. Unit B is not a one-to-one match.","Supply a letter-to-number unit crosswalk or APN."
"Orange","4607 Coppola Dr, Mount Dora, FL, 32757","032027843804870","ef2e54c1-2dc9-5769-bbeb-4cc5791c7b74","fde4d7cf008361bce0c201f11ad4c9ea87f5ed0bbaedbfb772ad9fd0bac7e785","Historical or current-identifier proof required","APN and exact address are absent; current parcels at 4601 and 4613 Coppola Dr bracket it.","Obtain parcel-history or successor evidence."
"Orange","511 Huntington Pines Dr, Ocoee, FL, 34761","302228100102030","03532854-7525-5eff-b846-55a987503273","a4b2654c5fd2da8bc5a591d832ed0c3a80dc7693e3b460a70721eea5f7908843","Historical or current-identifier proof required","APN and exact address are absent; current parcels at 493 and 527 Huntington Pines Dr bracket it.","Obtain parcel-history or successor evidence."
"Orange","557 Hebrides Ct, Apopka, FL, 32712","212028824103150","ec6118f4-b552-5c84-a266-0a81f4ae7402","33f8419b10607808b791ef906db74e26a07986cf3cd21c071a6439892e0b1104","Historical or current-identifier proof required","APN and exact address are absent; current parcels at 549 and 565 Hebrides Ct bracket it.","Obtain parcel-history or successor evidence."
"Orange","816 Jade Forest Ave, Orlando, FL, 32828","232231897301030","60700240-b2d1-5b15-9419-634d09e87357","db5c570a6a6c6334f23d6f1fb34c63791e12aa7c5a1893df93759dff4787392d","Historical or current-identifier proof required","APN and exact address are absent; the nearest current street parcels include 812 and 808 Jade Forest Ave.","Obtain parcel-history or successor evidence."
"Pasco","3031 Calvano Dr, Land O Lakes, FL, 34639","","f73e993b-3651-537b-8ccf-343e2337ee18","9fc974964b05c339187aa5f2545329639de2424c70e39f3eb7eb2ba80cfcd4b7","No usable APN or insufficient address identity","No exact address exists; the nearest current parcels are 3027 and 3083 Calvano Dr.","Obtain the authoritative current or historical parcel."
